State,Year,divorce_rate
Alabama,2017,3.660497663
Alabama,2016,3.778709929
Alabama,2015,3.853690251
Alabama,2014,3.785022282
Alabama,2013,3.68329002
Alabama,2012,3.6
Alabama,2011,4.3
Alabama,2010,4.4
Alabama,2009,4.4
Alabama,2008,4.3
Alabama,2007,4.5
Alabama,2006,4.9
Alabama,2005,4.9
Alabama,2004,4.9
Alabama,2003,5.2
Alabama,2002,5.4
Alabama,2001,5.4
Alabama,2000,5.5
Alabama,1999,5.7
Alabama,1995,6
Alabama,1990,6.1
Alaska,2017,3.580721686
Alaska,2016,3.946655452
Alaska,2015,4.138498873
Alaska,2014,3.951233284
Alaska,2013,4.461783734
Alaska,2012,4.5
Alaska,2011,4.8
Alaska,2010,4.7
Alaska,2009,4.4
Alaska,2008,4.4
Alaska,2007,4.3
Alaska,2006,4.2
Alaska,2005,4.3
Alaska,2004,4.3
Alaska,2003,3.9
Alaska,2002,4.6
Alaska,2001,4.3
Alaska,2000,3.9
Alaska,1999,5
Alaska,1995,5
Alaska,1990,5.5
Arizona,2017,3.479199062
Arizona,2016,3.352007215
Arizona,2015,3.578466227
Arizona,2014,3.892009548
Arizona,2013,3.929150047
Arizona,2012,4.3
Arizona,2011,3.9
Arizona,2010,3.5
Arizona,2009,3.6
Arizona,2008,3.8
Arizona,2007,4
Arizona,2006,4
Arizona,2005,4.2
Arizona,2004,4.3
Arizona,2003,4.4
Arizona,2002,4.8
Arizona,2001,4
Arizona,2000,4.6
Arizona,1999,4.6
Arizona,1995,6.2
Arizona,1990,6.9
Arkansas,2017,3.719694476
Arkansas,2016,3.926380943
Arkansas,2015,4.842515825
Arkansas,2014,4.845317626
Arkansas,2013,5.011872447
Arkansas,2012,5.3
Arkansas,2011,5.3
Arkansas,2010,5.7
Arkansas,2009,5.7
Arkansas,2008,5.5
Arkansas,2007,5.9
Arkansas,2006,5.8
Arkansas,2005,6
Arkansas,2004,6.1
Arkansas,2003,6
Arkansas,2002,6.2
Arkansas,2001,6.2
Arkansas,2000,6.4
Arkansas,1999,6.2
Arkansas,1995,6.3
Arkansas,1990,6.9
California,2017,Null
California,2016,Null
California,2015,Null
California,2014,Null
California,2013,Null
California,2012,Null
California,2011,Null
California,2010,Null
California,2009,Null
California,2008,Null
California,2007,Null
California,2006,Null
California,2005,Null
California,2004,Null
California,2003,Null
California,2002,Null
California,2001,Null
California,2000,Null
California,1999,Null
California,1995,Null
California,1990,4.3
Colorado,2017,3.186286662
Colorado,2016,3.566255666
Colorado,2015,3.725047988
Colorado,2014,3.866601592
Colorado,2013,4.073558277
Colorado,2012,4.3
Colorado,2011,4.4
Colorado,2010,4.3
Colorado,2009,4.3
Colorado,2008,4.3
Colorado,2007,4.4
Colorado,2006,4.5
Colorado,2005,4.4
Colorado,2004,4.4
Colorado,2003,4.3
Colorado,2002,4.7
Colorado,2001,4.7
Colorado,2000,4.7
Colorado,1999,4.8
Colorado,1995,Null
Colorado,1990,5.5
Connecticut,2017,2.870532838
Connecticut,2016,3.16850331
Connecticut,2015,3.128197331
Connecticut,2014,2.577657098
Connecticut,2013,2.761618206
Connecticut,2012,2.7
Connecticut,2011,3.1
Connecticut,2010,2.9
Connecticut,2009,3
Connecticut,2008,3.4
Connecticut,2007,3.2
Connecticut,2006,3.1
Connecticut,2005,3
Connecticut,2004,3.1
Connecticut,2003,3.2
Connecticut,2002,3.3
Connecticut,2001,3.2
Connecticut,2000,3.3
Connecticut,1999,3
Connecticut,1995,2.9
Connecticut,1990,3.2
Delaware,2017,2.964844964
Delaware,2016,3.079621664
Delaware,2015,3.093239063
Delaware,2014,3.256684915
Delaware,2013,3.383206463
Delaware,2012,3.5
Delaware,2011,3.6
Delaware,2010,3.5
Delaware,2009,3.6
Delaware,2008,3.5
Delaware,2007,3.7
Delaware,2006,3.8
Delaware,2005,3.8
Delaware,2004,3.7
Delaware,2003,3.9
Delaware,2002,3.5
Delaware,2001,3.9
Delaware,2000,3.9
Delaware,1999,4.5
Delaware,1995,5
Delaware,1990,4.4
District of Columbia,2017,2.477045183
District of Columbia,2016,2.73940426
District of Columbia,2015,2.83237235
District of Columbia,2014,2.577049688
District of Columbia,2013,2.838584328
District of Columbia,2012,2.9
District of Columbia,2011,2.9
District of Columbia,2010,2.8
District of Columbia,2009,2.7
District of Columbia,2008,2.7
District of Columbia,2007,1.7
District of Columbia,2006,2.1
District of Columbia,2005,2
District of Columbia,2004,1.8
District of Columbia,2003,2
District of Columbia,2002,2.4
District of Columbia,2001,2.9
District of Columbia,2000,3.2
District of Columbia,1999,3.6
District of Columbia,1995,3.2
District of Columbia,1990,4.5
Florida,2017,3.612111855
Florida,2016,3.865675479
Florida,2015,3.95653514
Florida,2014,3.970181514
Florida,2013,4.110651843
Florida,2012,4.2
Florida,2011,4.5
Florida,2010,4.4
Florida,2009,4.2
Florida,2008,4.3
Florida,2007,4.6
Florida,2006,4.7
Florida,2005,4.6
Florida,2004,4.7
Florida,2003,5
Florida,2002,5.1
Florida,2001,5.2
Florida,2000,5.1
Florida,1999,5.1
Florida,1995,5.5
Florida,1990,6.3
Georgia,2017,3.496277199
Georgia,2016,Null
Georgia,2015,Null
Georgia,2014,Null
Georgia,2013,Null
Georgia,2012,Null
Georgia,2011,Null
Georgia,2010,Null
Georgia,2009,Null
Georgia,2008,Null
Georgia,2007,Null
Georgia,2006,Null
Georgia,2005,Null
Georgia,2004,Null
Georgia,2003,3.2
Georgia,2002,2.5
Georgia,2001,3.1
Georgia,2000,3.3
Georgia,1999,4.1
Georgia,1995,5.1
Georgia,1990,5.5
Hawaii,2017,Null
Hawaii,2016,Null
Hawaii,2015,Null
Hawaii,2014,Null
Hawaii,2013,Null
Hawaii,2012,Null
Hawaii,2011,Null
Hawaii,2010,Null
Hawaii,2009,Null
Hawaii,2008,Null
Hawaii,2007,Null
Hawaii,2006,Null
Hawaii,2005,Null
Hawaii,2004,Null
Hawaii,2003,Null
Hawaii,2002,3.7
Hawaii,2001,4
Hawaii,2000,3.9
Hawaii,1999,3.8
Hawaii,1995,4.6
Hawaii,1990,4.6
Idaho,2017,3.884811552
Idaho,2016,4.034126692
Idaho,2015,4.125250011
Idaho,2014,4.248487578
Idaho,2013,4.495898609
Idaho,2012,4.7
Idaho,2011,4.9
Idaho,2010,5.2
Idaho,2009,5
Idaho,2008,4.8
Idaho,2007,4.9
Idaho,2006,5
Idaho,2005,5
Idaho,2004,5
Idaho,2003,5.2
Idaho,2002,5.3
Idaho,2001,5.3
Idaho,2000,5.5
Idaho,1999,5.4
Idaho,1995,5.8
Idaho,1990,6.5
Illinois,2017,1.870798076
Illinois,2016,2.2
Illinois,2015,2.196579392
Illinois,2014,2.213332008
Illinois,2013,2.270508732
Illinois,2012,2.4
Illinois,2011,2.6
