State,Year,Marriage rate
Alabama,1990,10.6
Alabama,1995,9.8
Alabama,1999,10.8
Alabama,2000,10.1
Alabama,2001,9.4
Alabama,2002,9.9
Alabama,2003,9.6
Alabama,2004,9.4
Alabama,2005,9.2
Alabama,2006,9.2
Alabama,2007,8.9
Alabama,2008,8.6
Alabama,2009,8.3
Alabama,2010,8.2
Alabama,2011,8.4
Alabama,2012,8.2
Alabama,2013,7.817785135
Alabama,2014,7.806776004
Alabama,2015,7.351544429
Alabama,2016,7.147821438
Alabama,2017,7.047340098
Alaska,1990,10.2
Alaska,1995,9
Alaska,1999,8.6
Alaska,2000,8.9
Alaska,2001,8.1
Alaska,2002,8.3
Alaska,2003,8.1
Alaska,2004,8.5
Alaska,2005,8.2
Alaska,2006,8.2
Alaska,2007,8.5
Alaska,2008,8.4
Alaska,2009,7.8
Alaska,2010,8
Alaska,2011,7.8
Alaska,2012,7.2
Alaska,2013,7.293928165
Alaska,2014,7.50883632
Alaska,2015,7.40758797
Alaska,2016,7.103440653
Alaska,2017,6.914077549
Arizona,1990,10
Arizona,1995,8.8
Arizona,1999,8.2
Arizona,2000,7.5
Arizona,2001,7.6
Arizona,2002,6.7
Arizona,2003,6.5
Arizona,2004,6.7
Arizona,2005,6.6
Arizona,2006,6.5
Arizona,2007,6.4
Arizona,2008,6
Arizona,2009,5.6
Arizona,2010,5.9
Arizona,2011,5.7
Arizona,2012,5.6
Arizona,2013,5.401091114
Arizona,2014,5.780449006
Arizona,2015,5.922468518
Arizona,2016,5.930540893
Arizona,2017,5.834866674
Arkansas,1990,15.3
Arkansas,1995,14.4
Arkansas,1999,14.8
Arkansas,2000,15.4
Arkansas,2001,14.3
Arkansas,2002,14.3
Arkansas,2003,13.4
Arkansas,2004,13.4
Arkansas,2005,12.9
Arkansas,2006,12.4
Arkansas,2007,12
Arkansas,2008,10.6
Arkansas,2009,10.7
Arkansas,2010,10.8
Arkansas,2011,10.4
Arkansas,2012,10.9
Arkansas,2013,9.751051996
Arkansas,2014,10.11202585
Arkansas,2015,10.04027931
Arkansas,2016,9.860962009
Arkansas,2017,9.45684472
California 1,1990,7.9
California 1,1995,6.3
California 1,1999,6.4
California 1,2000,5.8
California 1,2001,6.5
California 1,2002,6.2
California 1,2003,6.1
California 1,2004,6.4
California 1,2005,6.4
California 1,2006,6.3
California 1,2007,6.2
California 1,2008,6.7
California 1,2009,5.8
California 1,2010,5.8
California 1,2011,5.8
California 1,2012,6
California 1,2013,6.460467341
California 1,2014,6.441492172
California 1,2015,6.184956589
California 1,2016,6.463589557
California 1,2017,6.27825021
Colorado,1990,9.8
Colorado,1995,9
Colorado,1999,8.2
Colorado,2000,8.3
Colorado,2001,8.2
Colorado,2002,8
Colorado,2003,7.8
Colorado,2004,7.4
Colorado,2005,7.6
Colorado,2006,7.2
Colorado,2007,7.1
Colorado,2008,7.4
Colorado,2009,6.9
Colorado,2010,6.9
Colorado,2011,7
Colorado,2012,6.8
Colorado,2013,6.452663605
Colorado,2014,7.06160311
Colorado,2015,6.79180746
Colorado,2016,7.425442804
Colorado,2017,7.333845298
Connecticut,1990,7.9
Connecticut,1995,6.6
Connecticut,1999,5.8
Connecticut,2000,5.7
Connecticut,2001,5.4
Connecticut,2002,5.7
