State,Year,Divorce Rate,Marriage Rate
Alabama,2017,3.660497663,7.047340097999999
Alabama,2016,3.7787099289999997,7.147821437999999
Alabama,2015,3.853690251,7.351544429
Alabama,2014,3.785022282,7.806776004
Alabama,2013,3.68329002,7.817785135
Alabama,2012,3.6,8.2
Alabama,2011,4.3,8.4
Alabama,2010,4.4,8.2
Alabama,2009,4.4,8.3
Alabama,2008,4.3,8.6
Alabama,2007,4.5,8.9
Alabama,2006,4.9,9.2
Alabama,2005,4.9,9.2
Alabama,2004,4.9,9.4
Alabama,2003,5.2,9.6
Alabama,2002,5.4,9.9
Alabama,2001,5.4,9.4
Alabama,2000,5.5,10.1
Alabama,1999,5.7,10.8
Alabama,1995,6.0,9.8
Alabama,1990,6.1,10.6
Alaska,2017,3.5807216860000004,6.914077549
Alaska,2016,3.946655452,7.103440653
Alaska,2015,4.1384988730000005,7.40758797
Alaska,2014,3.9512332839999997,7.50883632
Alaska,2013,4.461783734,7.293928165
Alaska,2012,4.5,7.2
Alaska,2011,4.8,7.8
Alaska,2010,4.7,8.0
Alaska,2009,4.4,7.8
Alaska,2008,4.4,8.4
Alaska,2007,4.3,8.5
Alaska,2006,4.2,8.2
Alaska,2005,4.3,8.2
Alaska,2004,4.3,8.5
Alaska,2003,3.9,8.1
Alaska,2002,4.6,8.3
Alaska,2001,4.3,8.1
Alaska,2000,3.9,8.9
Alaska,1999,5.0,8.6
Alaska,1995,5.0,9.0
Alaska,1990,5.5,10.2
Arizona,2017,3.4791990619999997,5.834866674
Arizona,2016,3.352007215,5.930540893
Arizona,2015,3.578466227,5.922468518
Arizona,2014,3.8920095480000003,5.7804490060000004
Arizona,2013,3.929150047,5.401091114
Arizona,2012,4.3,5.6
Arizona,2011,3.9,5.7
Arizona,2010,3.5,5.9
Arizona,2009,3.6,5.6
Arizona,2008,3.8,6.0
Arizona,2007,4.0,6.4
Arizona,2006,4.0,6.5
Arizona,2005,4.2,6.6
Arizona,2004,4.3,6.7
Arizona,2003,4.4,6.5
Arizona,2002,4.8,6.7
Arizona,2001,4.0,7.6
Arizona,2000,4.6,7.5
Arizona,1999,4.6,8.2
Arizona,1995,6.2,8.8
Arizona,1990,6.9,10.0
Arkansas,2017,3.7196944760000004,9.45684472
Arkansas,2016,3.9263809430000003,9.860962009
Arkansas,2015,4.842515825,10.04027931
Arkansas,2014,4.845317626,10.11202585
Arkansas,2013,5.011872447,9.751051996000001
Arkansas,2012,5.3,10.9
Arkansas,2011,5.3,10.4
Arkansas,2010,5.7,10.8
Arkansas,2009,5.7,10.7
Arkansas,2008,5.5,10.6
Arkansas,2007,5.9,12.0
Arkansas,2006,5.8,12.4
Arkansas,2005,6.0,12.9
Arkansas,2004,6.1,13.4
Arkansas,2003,6.0,13.4
Arkansas,2002,6.2,14.3
Arkansas,2001,6.2,14.3
Arkansas,2000,6.4,15.4
Arkansas,1999,6.2,14.8
Arkansas,1995,6.3,14.4
Arkansas,1990,6.9,15.3
California,2017,6.9,15.3
California,2016,6.9,15.3
California,2015,6.9,15.3
California,2014,6.9,15.3
California,2013,6.9,15.3
California,2012,6.9,15.3
